step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
96,158208,6144,0.1561409120123396,0.78125,0.78125,,,,,
97,159296,6208,0.21175308703461723,0.765625,0.765625,,,,,
98,160896,6272,0.1456578568578152,0.78125,0.78125,,,,,
99,163008,6336,0.11623537388674662,0.8125,0.8125,,,,,
100,164608,6400,0.14100360086739935,0.796875,0.796875,,,,,
101,166208,6464,0.15888235319987795,0.6875,0.6875,,,,,
102,167808,6528,0.16144609764313222,0.71875,0.71875,,,,,
103,169408,6592,0.14405627313667538,0.78125,0.78125,,,,,
104,171008,6656,0.13371793453538125,0.78125,0.78125,,,,,
105,172608,6720,0.14147221028873294,0.84375,0.84375,,,,,
106,174208,6784,0.13595187966317704,0.796875,0.796875,0.20796663299143747,0.765625,0.765625,,
107,175808,6848,0.14393939778860843,0.734375,0.734375,,,,,
108,177408,6912,0.13632080703504243,0.796875,0.796875,,,,,
109,179008,6976,0.14789697872560054,0.796875,0.796875,,,,,
110,180608,7040,0.12743218617714167,0.828125,0.828125,,,,,
111,181696,7104,0.22378191778218476,0.75,0.75,,,,,
112,183808,7168,0.10643514840868419,0.8125,0.8125,,,,,
113,185408,7232,0.12773398929839458,0.828125,0.828125,,,,,
114,187008,7296,0.13995476142157867,0.78125,0.78125,,,,,
115,188608,7360,0.15994974116799007,0.75,0.75,,,,,
116,190208,7424,0.13212817017673995,0.875,0.875,,,,,
117,191808,7488,0.17019002483306545,0.734375,0.734375,,,,,
118,193408,7552,0.16757950709386474,0.671875,0.671875,,,,,
119,195008,7616,0.1440359108388293,0.796875,0.796875,,,,,
120,198144,7680,0.06517516753567089,0.875,0.875,,,,,
121,199744,7744,0.13518978785997054,0.875,0.875,0.13633679769147117,0.8125,0.8125,,
122,201344,7808,0.14126084417412513,0.828125,0.828125,,,,,
123,202944,7872,0.1521337969866636,0.875,0.875,,,,,
124,204544,7936,0.14115723859181345,0.796875,0.796875,,,,,
125,206656,8000,0.12563630089388197,0.671875,0.671875,,,,,
126,208256,8064,0.1467333959090562,0.8125,0.8125,,,,,
127,209856,8128,0.13529532293026325,0.859375,0.859375,,,,,
128,211456,8192,0.13437530373522955,0.796875,0.796875,,,,,
129,213056,8256,0.13550836746912867,0.84375,0.84375,,,,,
130,215168,8320,0.11350162375944137,0.71875,0.71875,,,,,
131,216768,8384,0.1319964351644444,0.8125,0.8125,,,,,
132,218368,8448,0.14105541477726244,0.84375,0.84375,,,,,
133,219456,8512,0.20007247720336638,0.78125,0.78125,,,,,
134,221056,8576,0.13522417288663746,0.796875,0.796875,,,,,
135,223168,8640,0.11117163867819499,0.75,0.75,,,,,
136,225280,8704,0.09398291922033196,0.875,0.875,0.13479138291822892,0.828125,0.828125,,
137,226880,8768,0.13735194979451157,0.734375,0.734375,,,,,
138,228480,8832,0.1600804880238381,0.6875,0.6875,,,,,
139,230080,8896,0.1376953471293215,0.71875,0.71875,,,,,
140,231680,8960,0.13757896750359275,0.875,0.875,,,,,
141,233280,9024,0.15867036020328748,0.6875,0.6875,,,,,
142,234880,9088,0.13199936216813815,0.8125,0.8125,,,,,
143,236480,9152,0.12278067391712287,0.84375,0.84375,,,,,
144,238592,9216,0.11021226126026419,0.828125,0.828125,,,,,
145,240192,9280,0.12772258059329336,0.859375,0.859375,,,,0.7920792102813721,0.7898810706527915
146,241792,9344,0.13455170156870128,0.875,0.875,,,,,
147,243392,9408,0.15101445440980873,0.765625,0.765625,,,,,
148,244992,9472,0.12032693679854373,0.890625,0.890625,,,,,
149,246592,9536,0.12190557942379504,0.84375,0.84375,,,,,
150,248192,9600,0.11672430558037376,0.859375,0.859375,,,,,
151,249792,9664,0.12337870697889836,0.796875,0.796875,0.1434451838640901,0.828125,0.828125,,
152,250880,9728,0.20154790401873013,0.78125,0.78125,,,,,
153,251968,9792,0.18966594470680317,0.828125,0.828125,,,,,
154,253056,9856,0.1887502387819609,0.796875,0.796875,,,,,
155,255168,9920,0.1029917717394767,0.8125,0.8125,,,,,
156,256768,9984,0.11276049151341948,0.875,0.875,,,,,
157,258368,10048,0.1471386062947507,0.796875,0.796875,,,,,
158,259968,10112,0.1205618974574615,0.84375,0.84375,,,,,
159,261056,10176,0.19909242217981954,0.796875,0.796875,,,,,
160,262656,10240,0.13804281528699297,0.859375,0.859375,,,,,
161,264256,10304,0.1391527441069684,0.84375,0.84375,,,,,
162,265856,10368,0.1217838594723162,0.890625,0.890625,,,,,
163,267456,10432,0.12977375926349546,0.828125,0.828125,,,,,
164,269056,10496,0.1458012367682348,0.78125,0.78125,,,,,
165,270656,10560,0.11425500707065718,0.890625,0.890625,,,,,
166,272256,10624,0.13405257531124637,0.8125,0.8125,0.13593884751471708,0.796875,0.796875,,
167,273856,10688,0.13039560178814705,0.8125,0.8125,,,,,
168,275968,10752,0.09208316665853965,0.875,0.875,,,,,
169,277568,10816,0.129856452591351,0.875,0.875,,,,,
170,279168,10880,0.11985484257986628,0.78125,0.78125,,,,,
171,280768,10944,0.1372938281730209,0.8125,0.8125,,,,,
172,282368,11008,0.11829883579616952,0.9375,0.9375,,,,,
173,283968,11072,0.12756219816321088,0.8125,0.8125,,,,,
174,286080,11136,0.10416551260773306,0.828125,0.828125,,,,,
175,288192,11200,0.10268869382352934,0.921875,0.921875,,,,,
176,289792,11264,0.1393498036320125,0.84375,0.84375,,,,,
177,291392,11328,0.1213003589682861,0.828125,0.828125,,,,,
178,292992,11392,0.12663151823116628,0.828125,0.828125,,,,,
179,294592,11456,0.11943534535446361,0.875,0.875,,,,,
180,296192,11520,0.1258091318782969,0.828125,0.828125,,,,,
181,297792,11584,0.11337433802359936,0.890625,0.890625,0.14839673522504504,0.828125,0.828125,,
182,299904,11648,0.09661673159953921,0.875,0.875,,,,,
183,301504,11712,0.11983714134571528,0.890625,0.890625,,,,,
184,304128,11776,0.07227122863476325,0.921875,0.921875,,,,,
185,305728,11840,0.132163174598954,0.828125,0.828125,,,,,
186,307328,11904,0.12813890356252006,0.859375,0.859375,,,,,
187,309440,11968,0.0981258518628465,0.84375,0.84375,,,,,
188,311040,12032,0.10204005958432656,0.9375,0.9375,,,,,
189,313152,12096,0.08869285259266918,0.921875,0.921875,,,,,
190,314752,12160,0.1214297681908344,0.875,0.875,,,,,
191,316352,12224,0.11943186556940949,0.859375,0.859375,,,,,
192,317952,12288,0.12220838643564398,0.921875,0.921875,,,,,
193,319552,12352,0.10737922290495779,0.90625,0.90625,,,,,
194,321152,12416,0.13120419504863323,0.84375,0.84375,,,,,
195,322240,12480,0.14820600153460647,0.890625,0.890625,,,,,
196,323840,12544,0.1383175137954292,0.84375,0.84375,0.1471721471408576,0.828125,0.828125,,
197,325440,12608,0.13517100568706156,0.875,0.875,,,,,
198,327040,12672,0.12716228594526913,0.765625,0.765625,,,,,
199,328640,12736,0.11222056464291275,0.859375,0.859375,,,,,
200,330240,12800,0.1316516423142578,0.859375,0.859375,,,,,
201,331840,12864,0.12255008185912097,0.921875,0.921875,,,,,
202,333440,12928,0.12010187989629534,0.890625,0.890625,,,,,
203,335040,12992,0.12475668527934736,0.859375,0.859375,,,,,
204,336640,13056,0.11689682908662082,0.890625,0.890625,,,,,
205,338752,13120,0.09844042306490339,0.84375,0.84375,,,,,
206,340864,13184,0.08293251056056193,0.921875,0.921875,,,,,
207,342464,13248,0.11682938241092415,0.90625,0.90625,,,,,
208,344576,13312,0.08839296022481448,0.90625,0.90625,,,,,
209,346176,13376,0.11802153378456147,0.953125,0.953125,,,,,
210,347776,13440,0.1225955971926927,0.90625,0.90625,,,,,
211,349376,13504,0.13950033763821165,0.84375,0.84375,0.14790457092564868,0.734375,0.734375,,
212,351488,13568,0.08310644015935226,0.9375,0.9375,,,,,
213,353088,13632,0.11009966872364507,0.859375,0.859375,,,,,
214,354688,13696,0.1384665074797681,0.828125,0.828125,,,,,
215,356800,13760,0.0835278729558013,0.890625,0.890625,,,,,
216,358400,13824,0.132717759239074,0.8125,0.8125,,,,,
217,360000,13888,0.12334427612465411,0.84375,0.84375,,,,,
218,362112,13952,0.08657628530777402,0.890625,0.890625,,,,,
219,363712,14016,0.12043834193783598,0.875,0.875,,,,,
220,365312,14080,0.115806837104437,0.875,0.875,,,,,
221,366912,14144,0.11546604518325694,0.921875,0.921875,,,,,
222,368512,14208,0.11738863564553413,0.90625,0.90625,,,,,
223,370112,14272,0.14003442064724822,0.84375,0.84375,,,,,
224,371712,14336,0.1312048920417965,0.84375,0.84375,,,,,
225,372800,14400,0.20509964118634796,0.84375,0.84375,,,,,
226,374400,14464,0.123948867624055,0.890625,0.890625,0.13142119728833374,0.796875,0.796875,,
227,376000,14528,0.10938957515030173,0.90625,0.90625,,,,,
228,377600,14592,0.12346643712332178,0.8125,0.8125,,,,,
229,379200,14656,0.12421892120172139,0.859375,0.859375,,,,,
230,380800,14720,0.1269526817473661,0.84375,0.84375,,,,,
231,382400,14784,0.13375998640184625,0.78125,0.78125,,,,,
232,384000,14848,0.11130275007417369,0.890625,0.890625,,,,,
233,386112,14912,0.10446966534752561,0.875,0.875,,,,,
234,387712,14976,0.12190061352752461,0.875,0.875,,,,,
235,389312,15040,0.11294513187948119,0.875,0.875,,,,,
236,391424,15104,0.09707288106952491,0.890625,0.890625,,,,,
237,393024,15168,0.13240849383738199,0.75,0.75,,,,,
238,395136,15232,0.08834866921962999,0.90625,0.90625,,,,,
239,396736,15296,0.13124223255933126,0.859375,0.859375,,,,,
240,398336,15360,0.11970644114135214,0.890625,0.890625,0.10903495715891343,0.921875,0.921875,,
241,399936,15424,0.11291392851123115,0.921875,0.921875,,,,,
242,401536,15488,0.10269451802212566,0.953125,0.953125,,,,,
243,403136,15552,0.11299247540764175,0.9375,0.9375,,,,,
244,404736,15616,0.10973119387485895,0.9375,0.9375,,,,,
245,406336,15680,0.12276284916471243,0.96875,0.96875,,,,,
246,407936,15744,0.11987802300897481,0.828125,0.828125,,,,,
247,409536,15808,0.11368800208624635,0.953125,0.953125,,,,,
248,411648,15872,0.08721833647709333,0.828125,0.828125,,,,,
249,413248,15936,0.10234465825652705,0.953125,0.953125,,,,,
250,414848,16000,0.11875468162731599,0.828125,0.828125,,,,,
251,416448,16064,0.11020490142742956,0.875,0.875,,,,,
252,417536,16128,0.1951635809738832,0.8125,0.8125,,,,,
253,419136,16192,0.11746290827808255,0.859375,0.859375,,,,,
254,420736,16256,0.12072083342932653,0.859375,0.859375,,,,,
255,422336,16320,0.12939643570747042,0.875,0.875,0.13173102635331968,0.828125,0.828125,,
256,423936,16384,0.12979045341639148,0.84375,0.84375,,,,,
257,425536,16448,0.1166710401034834,0.875,0.875,,,,,
258,427136,16512,0.111438967125135,0.890625,0.890625,,,,,
259,429248,16576,0.07588302875732324,0.90625,0.90625,,,,,
260,431360,16640,0.09758742126798801,0.8125,0.8125,,,,,
261,432960,16704,0.12360680012522303,0.875,0.875,,,,,
262,434560,16768,0.10435020621918815,0.890625,0.890625,,,,,
263,436160,16832,0.11762409368590548,0.859375,0.859375,,,,,
264,437760,16896,0.11073172139630666,0.875,0.875,,,,,
265,439360,16960,0.12050366010733643,0.84375,0.84375,,,,,
266,440960,17024,0.12829920284428528,0.859375,0.859375,,,,,
267,442560,17088,0.11991854689115374,0.828125,0.828125,,,,,
268,444160,17152,0.10942006171214112,0.859375,0.859375,,,,,
269,446272,17216,0.09613492105871728,0.796875,0.796875,,,,,
270,447872,17280,0.10784867047293573,0.875,0.875,0.12235155135789078,0.90625,0.90625,,
271,449472,17344,0.11681524283612817,0.875,0.875,,,,,
272,451072,17408,0.1149056531890229,0.90625,0.90625,,,,,
273,452672,17472,0.11528969262643235,0.921875,0.921875,,,,,
274,454272,17536,0.11778191047089877,0.90625,0.90625,,,,,
275,455872,17600,0.1358442033937801,0.78125,0.78125,,,,,
276,457472,17664,0.1067123311814233,0.890625,0.890625,,,,,
277,459072,17728,0.11479703740608331,0.875,0.875,,,,,
278,460672,17792,0.12282631163870217,0.953125,0.953125,,,,,
279,462272,17856,0.11993028684974737,0.890625,0.890625,,,,,
280,463872,17920,0.12483445463781208,0.84375,0.84375,,,,,
281,465472,17984,0.10526134191177715,0.8125,0.8125,,,,,
282,468608,18048,0.06422768550734569,0.890625,0.890625,,,,,
283,470720,18112,0.08764058914200631,0.90625,0.90625,,,,,
284,472320,18176,0.11975918605918802,0.890625,0.890625,,,,,
285,473408,18240,0.15692470405053596,0.953125,0.953125,0.12554037647824617,0.828125,0.828125,,
286,475008,18304,0.12680731552012123,0.84375,0.84375,,,,,
287,476608,18368,0.10469178261477434,0.953125,0.953125,,,,,
288,478208,18432,0.10532585570958873,0.9375,0.9375,,,,,
289,479808,18496,0.12132340268238599,0.875,0.875,,,,0.8549289703369141,0.8548013793579647
290,480896,18560,0.13464086137346384,0.953125,0.953125,,,,,
291,481984,18624,0.14034485781904776,0.953125,0.953125,,,,,
292,484096,18688,0.07587175261701873,0.984375,0.984375,,,,,
293,485184,18752,0.14531305345263945,0.953125,0.953125,,,,,
294,486784,18816,0.1149513400291388,0.921875,0.921875,,,,,
295,488384,18880,0.11735259960271378,0.90625,0.90625,,,,,
296,489984,18944,0.10624693785684182,0.984375,0.984375,,,,,
297,492096,19008,0.08507775349465022,0.9375,0.9375,,,,,
298,494208,19072,0.08391238046156388,0.921875,0.921875,,,,,
299,497344,19136,0.05178266125791046,0.953125,0.953125,,,,,
300,498944,19200,0.1125560396255575,0.953125,0.953125,0.0952215188976396,0.859375,0.859375,,
301,500544,19264,0.10696153854212677,0.96875,0.96875,,,,,
302,502656,19328,0.07210157154856632,0.984375,0.984375,,,,,
303,504256,19392,0.098040462642219,0.90625,0.90625,,,,,
304,505856,19456,0.10039279933963978,0.9375,0.9375,,,,,
305,507456,19520,0.10416328046540384,0.921875,0.921875,,,,,
306,509568,19584,0.08719959650480293,0.921875,0.921875,,,,,
307,511168,19648,0.10065918895361771,0.984375,0.984375,,,,,
308,512256,19712,0.15318025335218977,0.90625,0.90625,,,,,
309,513856,19776,0.08389868619859348,0.953125,0.953125,,,,,
310,515456,19840,0.10792809658255464,0.90625,0.90625,,,,,
311,517056,19904,0.12553599866969686,0.890625,0.890625,,,,,
312,518656,19968,0.0956813011342547,0.953125,0.953125,,,,,
313,520256,20032,0.10288640241672244,0.96875,0.96875,,,,,
314,521856,20096,0.10327571010182812,0.921875,0.921875,,,,,
315,523968,20160,0.07545995304902532,0.953125,0.953125,0.11856924836483813,0.9375,0.9375,,
316,525568,20224,0.12011279330740765,0.921875,0.921875,,,,,
317,526656,20288,0.1639691219388169,0.90625,0.90625,,,,,
318,528256,20352,0.11041719385261788,0.90625,0.90625,,,,,
319,529856,20416,0.10785792662795757,0.953125,0.953125,,,,,
320,531456,20480,0.10072145030757913,0.96875,0.96875,,,,,
321,533056,20544,0.11741559031208153,0.96875,0.96875,,,,,
322,534656,20608,0.110264461741527,0.90625,0.90625,,,,,
323,536768,20672,0.0738849101880632,0.953125,0.953125,,,,,
324,538368,20736,0.10110948709507284,0.9375,0.9375,,,,,
325,539968,20800,0.11401577694927408,0.9375,0.9375,,,,,
326,541568,20864,0.110346265641374,0.890625,0.890625,,,,,
327,543168,20928,0.10640648832865053,0.921875,0.921875,,,,,
328,544768,20992,0.10753529787654088,0.96875,0.96875,,,,,
329,546368,21056,0.10118076980947233,0.921875,0.921875,,,,,
330,547968,21120,0.11515820814992521,0.90625,0.90625,0.13806874211670675,0.953125,0.953125,,
331,550080,21184,0.08274839312855561,0.9375,0.9375,,,,,
332,551680,21248,0.10345691993972157,0.921875,0.921875,,,,,
333,553792,21312,0.08312503456450032,0.96875,0.96875,,,,,
334,555392,21376,0.11532212120249975,0.890625,0.890625,,,,,
335,556992,21440,0.08877171262881707,0.96875,0.96875,,,,,
336,558592,21504,0.10618782675342497,0.953125,0.953125,,,,,
337,560192,21568,0.1070037657901518,0.9375,0.9375,,,,,
338,561792,21632,0.11752499829540285,0.9375,0.9375,,,,,
339,563392,21696,0.0957942113303981,0.890625,0.890625,,,,,
340,564992,21760,0.09494089123194271,0.953125,0.953125,,,,,
341,566592,21824,0.09685777206598234,0.9375,0.9375,,,,,
342,568192,21888,0.10197867014026846,0.96875,0.96875,,,,,
343,569792,21952,0.1008902986328697,0.96875,0.96875,,,,,
344,571392,22016,0.11266856934918605,0.96875,0.96875,,,,,
345,572992,22080,0.11558755274245792,0.9375,0.9375,0.12211670292853873,0.875,0.875,,
346,574592,22144,0.12063993355349494,0.9375,0.9375,,,,,
347,576192,22208,0.10762226223913178,0.9375,0.9375,,,,,
348,577792,22272,0.10906781408115952,0.96875,0.96875,,,,,
349,579904,22336,0.08039340874975665,0.859375,0.859375,,,,,
350,581504,22400,0.10517624894169632,0.984375,0.984375,,,,,
351,583104,22464,0.08966656666993915,0.9375,0.9375,,,,,
352,584704,22528,0.11049509549886806,0.921875,0.921875,,,,,
353,585792,22592,0.13944294720399739,0.921875,0.921875,,,,,
354,586880,22656,0.1468671301208019,0.921875,0.921875,,,,,
355,588480,22720,0.09513237966050382,0.984375,0.984375,,,,,
356,590080,22784,0.10124238159564053,0.953125,0.953125,,,,,
357,591680,22848,0.0981733334074799,0.984375,0.984375,,,,,
358,593280,22912,0.08987816553590167,0.984375,0.984375,,,,,
359,594880,22976,0.12214523998803391,0.9375,0.9375,,,,,
360,596480,23040,0.0934504523755777,0.984375,0.984375,0.13679497653586925,0.8125,0.8125,,
361,598080,23104,0.09000786808456572,0.921875,0.921875,,,,,
362,600192,23168,0.07576113696089805,0.921875,0.921875,,,,,
363,602304,23232,0.08224210478405211,0.9375,0.9375,,,,,
364,603904,23296,0.11741874840146238,0.9375,0.9375,,,,,
365,605504,23360,0.10032482418084974,0.953125,0.953125,,,,,
366,606592,23424,0.129934916078264,0.96875,0.96875,,,,,
367,608192,23488,0.11397847189454073,0.859375,0.859375,,,,,
368,609792,23552,0.11112834367069883,0.921875,0.921875,,,,,
369,611392,23616,0.10095487165980709,0.984375,0.984375,,,,,
370,612992,23680,0.11099997585037046,0.90625,0.90625,,,,,
371,614592,23744,0.09098945115674724,1.0,1.0,,,,,
372,616192,23808,0.09545896155222904,0.96875,0.96875,,,,,
373,617792,23872,0.10304030401368135,0.953125,0.953125,,,,,
374,619392,23936,0.12110091928877108,0.921875,0.921875,,,,,
375,620992,24000,0.10128441623061614,0.953125,0.953125,0.11985765288796225,0.828125,0.828125,,
376,623104,24064,0.07608301867506385,0.90625,0.90625,,,,,
377,624704,24128,0.11207800902074799,0.953125,0.953125,,,,,
378,626304,24192,0.09592065017319557,0.96875,0.96875,,,,,
379,628416,24256,0.07532499761800296,0.9375,0.9375,,,,,
380,630016,24320,0.09864497020229995,0.953125,0.953125,,,,,
381,631616,24384,0.09639959678554914,0.984375,0.984375,,,,,
382,634240,24448,0.05738859771518947,0.96875,0.96875,,,,,
383,635840,24512,0.10374074853221865,0.875,0.875,,,,,
384,637440,24576,0.11180157702986737,0.9375,0.9375,,,,,
385,639040,24640,0.09819170757228145,0.96875,0.96875,,,,,
386,640640,24704,0.10272935959553707,0.90625,0.90625,,,,,
387,642240,24768,0.11180386847736373,0.921875,0.921875,,,,,
388,643840,24832,0.0914863340761561,0.96875,0.96875,,,,,
389,645952,24896,0.08140407688949977,0.953125,0.953125,,,,,
390,648064,24960,0.0796804475555689,0.984375,0.984375,0.07205508028852818,0.890625,0.890625,,
391,650176,25024,0.07327457701579762,0.984375,0.984375,,,,,
392,651776,25088,0.10303296265402273,0.921875,0.921875,,,,,
393,652864,25152,0.14770266937563295,0.921875,0.921875,,,,,
394,654464,25216,0.09727188111122587,0.96875,0.96875,,,,,
395,656064,25280,0.11374747378601645,0.953125,0.953125,,,,,
396,657664,25344,0.11422362520553786,0.9375,0.9375,,,,,
397,659776,25408,0.08745004953894978,0.875,0.875,,,,,
398,661888,25472,0.07958372578207218,0.9375,0.9375,,,,,
399,664000,25536,0.08679019998546665,0.9375,0.9375,,,,,
400,665600,25600,0.11281922381500255,0.96875,0.96875,,,,,
401,667200,25664,0.10520645250082532,0.953125,0.953125,,,,,
402,668800,25728,0.10181809643012611,0.953125,0.953125,,,,,
403,670400,25792,0.09489585513562322,0.953125,0.953125,,,,,
404,672000,25856,0.11327400880746646,0.9375,0.9375,0.12043707553859803,0.828125,0.828125,,
405,673600,25920,0.10183449671968674,0.953125,0.953125,,,,,
406,675200,25984,0.10598704786897695,0.953125,0.953125,,,,,
407,676800,26048,0.1015786990522694,0.90625,0.90625,,,,,
408,678400,26112,0.10219060324218389,0.96875,0.96875,,,,,
409,680000,26176,0.09800401302754837,0.96875,0.96875,,,,,
410,682112,26240,0.07802915567359606,0.953125,0.953125,,,,,
411,683712,26304,0.09926281045388803,0.9375,0.9375,,,,,
412,685824,26368,0.08342733666936794,0.875,0.875,,,,,
413,687424,26432,0.09933453074559871,0.890625,0.890625,,,,,
414,689024,26496,0.10030521905607277,0.9375,0.9375,,,,,
415,690624,26560,0.10039988256980148,0.96875,0.96875,,,,,
416,692224,26624,0.09924927235580676,0.96875,0.96875,,,,,
417,693824,26688,0.09753414733673177,1.0,1.0,,,,,
418,695424,26752,0.10886934914011781,0.90625,0.90625,,,,,
